Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,RSI_14
2025-10-10 00:00:00+00:00,121662.41,121874.13,121595.75,121786.26,357.09667,2025-10-10 23:59:59.999000 UTC,43470604.6231244,118942,197.07259,23990147.45071,0,76.50236371017373
2025-10-11 00:00:00+00:00,112774.49,113178.66,111620.3,112143.65,4004.34367,2025-10-11 23:59:59.999000 UTC,450080127.9899338,605882,1850.16133,207997238.9744974,0,53.85294940065571
2025-10-12 00:00:00+00:00,110644.4,110685.63,109565.06,110039.84,1449.71411,2025-10-12 23:59:59.999000 UTC,159565061.1842181,334156,618.82561,68105451.1064983,0,46.693437435884185
2025-10-13 00:00:00+00:00,114958.81,115888.0,114766.69,115283.65,1831.14783,2025-10-13 23:59:59.999000 UTC,210997649.1162828,516920,1101.86745,126950202.0261897,0,51.37963749392664
2025-10-14 00:00:00+00:00,115166.0,115409.96,114542.0,114711.0,1023.79943,2025-10-14 23:59:59.999000 UTC,117773966.2504316,277364,311.71266,35855821.6168924,0,52.3825474404754
2025-10-15 00:00:00+00:00,113028.13,113112.41,112384.32,112726.98,1477.97662,2025-10-15 23:59:59.999000 UTC,166729651.2051487,316764,480.5479,54204466.3652446,0,47.78681818748377
2025-10-16 00:00:00+00:00,110763.28,111109.65,110361.0,111005.02,1023.51951,2025-10-16 23:59:59.999000 UTC,113245611.5189193,285677,344.00938,38070105.9922371,0,38.40617624964167
2025-10-17 00:00:00+00:00,108194.27,109115.08,107934.4,108980.44,890.83243,2025-10-17 23:59:59.999000 UTC,96708539.4745794,261865,499.77804,54283277.3079772,0,33.026573226380506
2025-10-18 00:00:00+00:00,106431.68,106980.72,106322.2,106951.59,575.43807,2025-10-18 23:59:59.999000 UTC,61384320.5111954,155740,294.54346,31418675.1445938,0,27.25082690551912
2025-10-19 00:00:00+00:00,107185.0,107267.2,106734.17,106939.99,493.36618,2025-10-19 23:59:59.999000 UTC,52789366.3881904,148231,254.31408,27217343.1257373,0,26.904468856597347
2025-10-20 00:00:00+00:00,108642.77,108642.77,107402.52,108016.9,1452.56796,2025-10-20 23:59:59.999000 UTC,156836409.398519,348358,626.04046,67587463.6251227,0,26.318200943557244
2025-10-21 00:00:00+00:00,110532.09,110532.09,110128.07,110152.11,549.02436,2025-10-21 23:59:59.999000 UTC,60591245.3279051,181591,206.86498,22831012.5053859,0,27.797045236707504
2025-10-22 00:00:00+00:00,108297.66,108643.61,107841.2,108051.58,2182.45282,2025-10-22 23:59:59.999000 UTC,236108208.9981849,380992,955.72257,103425363.5713935,0,28.75149249312959
2025-10-23 00:00:00+00:00,107567.45,108443.09,107500.0,108315.03,696.23445,2025-10-23 23:59:59.999000 UTC,75121085.5010741,164171,402.02325,43384025.7996891,0,27.398299362158667
2025-10-24 00:00:00+00:00,110078.19,110709.22,109983.93,110550.48,611.12551,2025-10-24 23:59:59.999000 UTC,67448912.1301983,171089,357.24312,39431220.5292834,0,33.05079069700085
2025-10-25 00:00:00+00:00,111004.9,111044.86,110672.86,110876.15,256.03075,2025-10-25 23:59:59.999000 UTC,28377416.3872772,71062,99.56531,11034600.360667,0,47.34036972532891
2025-10-26 00:00:00+00:00,111646.27,111899.56,111544.15,111730.75,460.35098,2025-10-26 23:59:59.999000 UTC,51438955.5193398,104702,238.15471,26611675.4169715,0,53.74438257358847
2025-10-27 00:00:00+00:00,114559.41,115176.47,114362.26,115028.72,1410.72946,2025-10-27 23:59:59.999000 UTC,162017764.9822193,240936,746.3434,85716333.0083242,0,49.38224097278934
2025-10-28 00:00:00+00:00,114107.65,114374.2,113788.32,114246.57,663.17207,2025-10-28 23:59:59.999000 UTC,75635953.2646145,183913,329.10162,37537948.5175213,0,48.88588227674108
2025-10-29 00:00:00+00:00,112898.44,112898.45,112254.2,112321.57,714.32724,2025-10-29 23:59:59.999000 UTC,80426018.2003689,180159,309.77006,34876149.1292067,0,49.024703220228346
2025-10-30 00:00:00+00:00,110021.3,110611.74,109703.43,110556.01,810.56277,2025-10-30 23:59:59.999000 UTC,89378301.334721,263274,448.35793,49453988.1698744,0,48.922075733416285
2025-10-31 00:00:00+00:00,108322.87,110042.16,108275.28,109769.71,1700.77186,2025-10-31 23:59:59.999000 UTC,185640383.9198842,360148,979.29387,106864837.4840158,0,52.01454879589572
2025-11-01 00:00:00+00:00,109608.01,109877.0,109394.81,109732.33,382.42752,2025-11-01 23:59:59.999000 UTC,41910177.9727167,120504,151.75296,16632414.3471474,0,57.90082612693194
2025-11-02 00:00:00+00:00,110098.1,110127.26,109895.27,110008.49,376.66144,2025-11-02 23:59:59.999000 UTC,41437658.547021,104623,179.47771,19745433.5229091,0,58.5893001700785
2025-11-03 00:00:00+00:00,110540.69,110750.0,109484.0,109807.89,723.95165,2025-11-03 23:59:59.999000 UTC,79683449.7279494,239688,318.94076,35091524.8188295,0,55.27194994945848
2025-11-04 00:00:00+00:00,106583.05,106808.51,105852.37,106590.18,1421.11788,2025-11-04 23:59:59.999000 UTC,151179215.1716718,415418,645.13186,68628242.4844575,0,40.14327673584956
2025-11-05 00:00:00+00:00,101497.23,101752.96,99867.01,99887.41,1998.37627,2025-11-05 23:59:59.999000 UTC,201273877.1806563,446212,900.33821,90737917.7556111,0,31.994061075120086
2025-11-06 00:00:00+00:00,103885.16,103897.86,103029.2,103073.39,1546.75954,2025-11-06 23:59:59.999000 UTC,160064611.0386748,258596,678.06277,70190842.5062695,0,39.75974180742617
2025-11-07 00:00:00+00:00,101346.04,101894.83,100749.94,101792.38,1305.82934,2025-11-07 23:59:59.999000 UTC,132346728.9738085,399695,662.74451,67191189.2452475,0,32.227059206473044
2025-11-08 00:00:00+00:00,103339.09,103406.22,102539.49,102987.19,1056.24357,2025-11-08 23:59:59.999000 UTC,108796326.1302012,261099,461.85758,47563481.9232833,0,34.536302336521885
2025-11-09 00:00:00+00:00,102312.95,102337.89,101620.23,101937.71,770.69136,2025-11-09 23:59:59.999000 UTC,78572076.2289613,203459,280.76619,28619415.2010365,0,30.949527835013043
2025-11-10 00:00:00+00:00,104722.95,106670.11,104265.02,106291.42,3314.54976,2025-11-10 23:59:59.999000 UTC,350745906.7270853,522985,2036.56979,215534206.5087118,0,33.67385911530563
2025-11-11 00:00:00+00:00,106011.13,106900.0,105500.0,106899.99,931.1983,2025-11-11 23:59:59.999000 UTC,98766412.5881714,294503,515.15403,54675866.1726692,0,36.18286825974307
2025-11-12 00:00:00+00:00,103059.0,103340.59,102687.72,103250.73,833.68268,2025-11-12 23:59:59.999000 UTC,85897936.8553486,302628,474.63809,48908090.9672511,0,33.9790457552818
2025-11-13 00:00:00+00:00,101654.37,102604.0,101467.15,102200.28,1033.70732,2025-11-13 23:59:59.999000 UTC,105511425.1904881,272628,667.95734,68221042.5122691,0,34.859620811482415
2025-11-14 00:00:00+00:00,99692.03,99778.0,98700.0,98834.01,2766.97648,2025-11-14 23:59:59.999000 UTC,274195342.6787424,691504,1067.98364,105877168.7379927,0,31.87903159524572
2025-11-15 00:00:00+00:00,94594.0,95414.0,94558.49,95127.0,1246.21901,2025-11-15 23:59:59.999000 UTC,118463615.6357076,394178,659.27367,62676959.3109604,0,28.42243732158839
2025-11-16 00:00:00+00:00,95596.23,95704.81,95040.71,95373.46,473.429,2025-11-16 23:59:59.999000 UTC,45139480.4250372,235580,203.64394,19415475.8727023,0,28.359568452086094
2025-11-17 00:00:00+00:00,94261.45,95487.8,93767.27,95018.68,2063.57291,2025-11-17 23:59:59.999000 UTC,195427737.3967083,526254,1078.40913,102155115.7999635,0,28.230846021890414
2025-11-18 00:00:00+00:00,92215.14,92357.51,91200.0,92093.99,2411.57934,2025-11-18 23:59:59.999000 UTC,221752420.84659,615897,1196.16025,110021083.6721842,0,28.47649237941812
2025-11-19 00:00:00+00:00,92960.83,92980.22,91929.86,91965.44,1321.20284,2025-11-19 23:59:59.999000 UTC,121960240.7671115,324584,520.59862,48065964.4433725,0,35.38437468981806
2025-11-20 00:00:00+00:00,91554.96,92335.0,91185.26,92213.11,1326.29218,2025-11-20 23:59:59.999000 UTC,121930792.1466003,295557,707.34421,65055957.100079,0,27.526785063933204
2025-11-21 00:00:00+00:00,86637.22,87498.94,86592.0,87166.96,1063.84212,2025-11-21 23:59:59.999000 UTC,92761104.2006641,443071,508.27244,44310962.6474037,0,23.815716635646268
2025-11-22 00:00:00+00:00,85129.42,85620.0,84571.13,84681.63,1151.88026,2025-11-22 23:59:59.999000 UTC,97943475.4674641,364445,513.36652,43682189.1876956,0,18.674580863141642
2025-11-23 00:00:00+00:00,84739.75,85609.75,84667.57,85455.47,1238.39537,2025-11-23 23:59:59.999000 UTC,105483330.2481127,307733,679.88243,57906205.2026153,0,21.526123649661372
2025-11-24 00:00:00+00:00,86830.0,87211.33,85946.65,86650.89,1672.2035,2025-11-24 23:59:59.999000 UTC,144725858.9845962,483358,766.51108,66350763.4617155,0,11.91400243169818
2025-11-25 00:00:00+00:00,88300.01,88300.01,87864.63,88154.99,934.31162,2025-11-25 23:59:59.999000 UTC,82287742.985819,247270,449.85838,39623681.8974968,0,14.870663321336849
